City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
475,Manali,IN,78.89,heavy intensity rain,13.1667,80.2667,Sarathy Lodge
476,Pochutla,MX,76.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
489,Kutoarjo,ID,88.88,heavy intensity rain,-7.7169,109.9128,Massagus Hotel
501,Ambulu,ID,86.83,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
502,Turan,VN,82.38,broken clouds,16.0678,108.2208,Sun River Hotel
505,Tura,IN,79.27,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
506,Piacabucu,BR,75.0,few clouds,-10.4056,-36.4344,Piaçabuçu News
507,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
509,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
510,Jiwani,PK,79.43,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
513,Kokoda,PG,86.54,scattered clouds,-8.8785,147.7407,Daito Guest House
514,Chake Chake,TZ,82.58,overcast clouds,-5.2459,39.7666,Hotel Archipelago
515,Luganville,VU,80.51,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
516,Palembang,ID,89.69,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
517,Martaban,MM,86.94,broken clouds,16.5314,97.6111,Lu Wa Gyi Guest House
519,Les Cayes,HT,75.88,broken clouds,18.2,-73.75,Villa Orphee
523,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
525,Tuensang,IN,78.33,clear sky,26.2833,94.8333,B.W.D Resthouse.
526,Ormara,PK,82.54,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
532,Kokopo,PG,83.77,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
540,Mamallapuram,IN,78.85,moderate rain,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
543,Eyl,SO,82.45,scattered clouds,7.9803,49.8164,Amiin Hotel
548,Baihar,IN,81.34,broken clouds,22.1,80.55,T3 RESORT & RESEARCH CENTRE
551,Tsiroanomandidy,MG,81.95,broken clouds,-18.7667,46.0333,Hotel du Bongolave
558,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
566,Martapura,ID,86.09,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
568,Ambilobe,MG,92.48,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
569,Dingle,PH,86.14,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
577,Kununurra,AU,91.38,light rain,-15.7667,128.7333,Hotel Kununurra
578,Grand Gaube,MU,82.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
581,Ihosy,MG,81.99,scattered clouds,-22.4,46.1167,Hotely Sariaka
587,Manokwari,ID,85.06,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
592,Padang,ID,77.05,light rain,-0.9492,100.3543,Mercure Padang
597,Ampanihy,MG,93.49,few clouds,-24.7,44.75,Angora Hotel
600,Jimeta,NG,80.6,overcast clouds,9.2833,12.4667,Yola International Hotel
602,Puerto Ayacucho,VE,75.2,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
604,Anito,PH,83.28,broken clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
607,Chipinge,ZW,85.32,clear sky,-20.1883,32.6236,Chipinge Breeze Lodge
609,Binika,IN,80.76,few clouds,21.0333,83.8,DISASTER ACCOMMODATION
621,Tautira,PF,77.02,scattered clouds,-17.7333,-149.15,Pension Oaoa
623,Emerald,AU,81.34,overcast clouds,-23.5333,148.1667,The Irish Village
625,Doha,QA,84.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
633,Kalmunai,LK,83.53,overcast clouds,7.4167,81.8167,VS Villa
635,Manacapuru,BR,77.58,overcast clouds,-3.2997,-60.6206,Novo Hotel
643,Tecoanapa,MX,75.4,broken clouds,16.5167,-98.75,Hotel Manglares
645,Kismayo,SO,81.63,overcast clouds,-0.3582,42.5454,Agan-Hotel
648,Cockburn Town,TC,81.32,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
650,Tiarei,PF,77.02,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
654,Hobyo,SO,82.33,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
664,Bac Lieu,VN,85.28,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
670,Touros,BR,77.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
677,Puri,IN,82.92,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
682,Cairns,AU,94.06,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
684,Hervey Bay,AU,80.04,light rain,-25.2986,152.8535,Shelly Bay Resort
687,Banjar,ID,85.91,moderate rain,-8.19,114.9675,The Hamsa Resort
690,Monrovia,LR,76.77,broken clouds,6.3005,-10.7969,Sunset Inn
695,Acarau,BR,77.67,overcast clouds,-2.8856,-40.12,castelo pizzaria
