City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,Ancud,CL,-41.8697,-73.8203,53.42,94,94,3.22,overcast clouds
215,Sibolga,ID,1.7427,98.7792,78.73,87,100,3.83,overcast clouds
216,Port Hedland,AU,-20.3167,118.5667,82.45,51,61,21.85,broken clouds
217,Atar,MR,20.5169,-13.0499,69.82,31,68,7.31,broken clouds
218,Nawabganj,BD,24.5911,88.271,81.34,48,51,7.9,broken clouds
219,Beringovskiy,RU,63.05,179.3167,13.66,95,55,5.39,broken clouds
220,Honningsvag,NO,70.9821,25.9704,32.2,72,99,25.79,light snow
221,Hovd,MN,48.0056,91.6419,26.89,37,0,3.18,clear sky
222,Ahuimanu,US,21.4447,-157.8378,78.51,73,40,12.66,scattered clouds
223,Grants Pass,US,42.439,-123.3284,43.48,91,40,0.0,scattered clouds
224,Ebolowa,CM,2.9,11.15,69.19,99,98,1.28,overcast clouds
225,Jalu,LY,29.0331,21.5482,66.15,54,4,5.75,clear sky
226,Mao,ES,39.8885,4.2658,55.96,94,90,13.8,overcast clouds
227,Mitsamiouli,KM,-11.3847,43.2844,88.09,51,20,12.66,few clouds
228,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.07,86,13,7.85,few clouds
229,Assiniboia,CA,49.6334,-105.9845,33.71,55,0,16.11,clear sky
230,Sao Filipe,CV,14.8961,-24.4956,77.41,74,98,6.29,overcast clouds
231,Katsuura,JP,35.1333,140.3,69.84,61,65,16.82,broken clouds
232,New Norfolk,AU,-42.7826,147.0587,67.66,35,21,5.99,few clouds
233,Careiro Da Varzea,BR,-3.2003,-59.8119,81.21,92,76,1.23,light rain
234,Vestmanna,FO,62.1564,-7.1664,43.72,93,90,23.02,overcast clouds
235,La Reforma,MX,25.0833,-108.05,71.26,58,11,3.18,few clouds
236,Sebezh,RU,56.2955,28.4654,42.67,83,100,14.03,overcast clouds
237,Saint-Ambroise,CA,48.5501,-71.3324,46.22,70,100,5.75,overcast clouds
238,Marion,US,39.7684,-86.1555,47.52,81,20,5.75,few clouds
239,Maumere,ID,-8.6199,122.2111,85.66,72,64,2.06,moderate rain
240,Ucluelet,CA,48.9329,-125.5528,40.08,90,80,10.33,broken clouds
241,Lamu,KE,-2.2717,40.902,82.62,66,80,9.42,broken clouds
242,Acaponeta,MX,22.4964,-105.3594,71.82,75,18,3.4,few clouds
243,Penzance,GB,50.1186,-5.5371,54.77,95,100,6.15,overcast clouds
244,Batagay,RU,67.6333,134.6333,-15.11,86,56,6.24,broken clouds
245,Marawi,PH,7.9986,124.2928,78.66,74,39,7.29,scattered clouds
